,Date,Season,home,visitor,FT,hgoal,vgoal
12877,2008-11-22,2008,Arminia Bielefeld,Bayer Leverkusen,2-1,2,1
12878,2008-11-22,2008,1. FC Koln,1899 Hoffenheim,1-3,1,3
12879,2008-11-23,2008,Hamburger SV,Werder Bremen,2-1,2,1
12880,2008-11-28,2008,Hertha BSC,1. FC Koln,2-1,2,1
12881,2008-11-29,2008,Werder Bremen,Eintracht Frankfurt,5-0,5,0
12882,2008-11-29,2008,Bayer Leverkusen,Bayern Munchen,0-2,0,2
12883,2008-11-29,2008,Hannover 96,Karlsruher SC,3-2,3,2
12884,2008-11-29,2008,Bor. Monchengladbach,Energie Cottbus,1-3,1,3
12885,2008-11-29,2008,1899 Hoffenheim,Arminia Bielefeld,3-0,3,0
12886,2008-11-30,2008,VfB Stuttgart,FC Schalke 04,2-0,2,0
12887,2008-11-30,2008,VfL Bochum,Hamburger SV,1-1,1,1
12888,2008-11-30,2008,Borussia Dortmund,VfL Wolfsburg,0-0,0,0
12889,2008-12-05,2008,Bayern Munchen,1899 Hoffenheim,2-1,2,1
12890,2008-12-06,2008,FC Schalke 04,Hertha BSC,1-0,1,0
12891,2008-12-06,2008,Eintracht Frankfurt,VfL Bochum,4-0,4,0
12892,2008-12-06,2008,Karlsruher SC,Werder Bremen,1-0,1,0
12893,2008-12-06,2008,Energie Cottbus,VfB Stuttgart,0-3,0,3
12894,2008-12-06,2008,Arminia Bielefeld,Borussia Dortmund,0-0,0,0
12895,2008-12-06,2008,Bor. Monchengladbach,Bayer Leverkusen,1-3,1,3
12896,2008-12-07,2008,VfL Wolfsburg,Hannover 96,2-1,2,1
12897,2008-12-07,2008,1. FC Koln,Hamburger SV,1-2,1,2
12898,2008-12-12,2008,Borussia Dortmund,Bor. Monchengladbach,2-1,2,1
12899,2008-12-13,2008,Werder Bremen,VfL Wolfsburg,2-1,2,1
12900,2008-12-13,2008,Hamburger SV,Eintracht Frankfurt,1-0,1,0
